"SKU","Product","Package ID","Category","Tags","Strain","Vendor","Room","Available","Unit price (Inventory)","Cost","External package ID","Testing status","Testing status text","Is finished in METRC","THC","THCA","THC-D9","CBD","CBDA","CBN","Inventory date","Expiration date","Packaging date","Date of manufacture","Unit","Master category","Type","Flower equiv","Alternate description","Is cannabis","Is coupon","Is additive","Is available online","Is POS available","Is Retired","Is on sale","Taxable","Brand","Online title","Online Description","Image URL","External category","Net weight","Gross weight","Instructions","Allergens","Ingredients","Days supply","Product size","Package NDC","Allocated quantity","Quantity (including allocated)","SubRoom name","Harvest date","Producer","On hold","Last audited date","Status","Batch","Calculated THC (mg)","Current price","Price (Catalog)","Location price (Catalog)","Available for"
32284380,Stache | 4-Piece Grynder | Black | Gear,00957,Gear,,N/A,LuvBuds,Backstock,10,30,15,00957,,,false,,,,,,,2/18/2025,,2/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Stache,,,,,,0,,,,,,00957,,10,,,,false,,,,,50,50,,All enabled customer types
18819779,Stache | 4-Piece Grynder | Purple | Gear,00958,Gear,,N/A,LuvBuds,Backstock,20,30,15,00958,,,false,,,,,,,2/18/2025,,2/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Stache,,,,,,0,,,,,,00958,,20,,,,false,,,,,30,30,,All enabled customer types
53725279,Stache | 4-Piece Grynder | Red | Gear,00959,Gear,,N/A,LuvBuds,Backstock,20,30,15,00959,,,false,,,,,,,2/18/2025,,2/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Stache,,,,,,0,,,,,,00959,,20,,,,false,,,,,30,30,,All enabled customer types
00960,Stache | 4-Piece Grynder | Blue | Gear,00960,Gear,,N/A,LuvBuds,Backstock,10,30,15,00960,,,false,,,,,,,2/18/2025,,2/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Stache,,,,,,0,,,,,,00960,,10,,,,false,,,,,30,30,,All enabled customer types
36773897,Skruit | Dark Light Blue | 510 Battery | Gear,01000,Gear,,No Strain,Stache,Sales Floor,3,25,12.5,01000,,,false,,,,,,,3/18/2025,,3/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Skruit,,,,,,0,,,,,,,,3,,,,false,,,,,25,25,,All enabled customer types
66874180,Skruit | Red Black | 510 Battery | Gear,01001,Gear,,No Strain,Stache,Sales Floor,4,25,12.5,01001,,,false,,,,,,,3/18/2025,,3/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Skruit,,,,,,0,,,,,,,,4,,,,false,,,,,25,25,,All enabled customer types
19691993,Skruit | Yellow Green | 510 Battery | Gear,01002,Gear,,No Strain,Stache,Sales Floor,4,25,12.5,01002,,,false,,,,,,,3/18/2025,,3/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Skruit,,,,,,0,,,,,,,,4,,,,false,,,,,25,25,,All enabled customer types
58027519,Skruit | Purple | 510 Battery | Gear,01003,Gear,,No Strain,Stache,Sales Floor,2,25,12.5,01003,,,false,,,,,,,3/18/2025,,3/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Skruit,,,,,,0,,,,,,,,2,,,,false,,,,,25,25,,All enabled customer types
67157310,Skruit | Green | 510 Battery | Gear,01004,Gear,,No Strain,Stache,Sales Floor,3,25,12.5,01004,,,false,,,,,,,3/18/2025,,3/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Skruit,,,,,,0,,,,,,,,3,,,,false,,,,,25,25,,All enabled customer types
74825086,Skruit | Red | 510 Battery | Gear,01005,Gear,,No Strain,Stache,Sales Floor,4,25,12.5,01005,,,false,,,,,,,3/18/2025,,3/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Skruit,,,,,,0,,,,,,,,4,,,,false,,,,,25,25,,All enabled customer types
06970026,Skruit | Black | 510 Battery | Gear,01006,Gear,,No Strain,Stache,Sales Floor,3,25,12.5,01006,,,false,,,,,,,3/18/2025,,3/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Skruit,,,,,,0,,,,,,,,3,,,,false,,,,,25,25,,All enabled customer types
23917907,Skruit |  Blue | 510 Battery | Gear,01007,Gear,,No Strain,Stache,Sales Floor,3,25,12.5,01007,,,false,,,,,,,3/18/2025,,3/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Skruit,,,,,,0,,,,,,,,3,,,,false,,,,,25,25,,All enabled customer types
02602921,Stache | 3-piece Grynder | Black | Gear,01008,Gear,,N/A,Stache,Sales Floor,2,25,12.5,01008,,,false,,,,,,,3/18/2025,,3/18/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Stache,,,,,,0,,,,,,,,2,,,,false,,,,,25,25,,All enabled customer types
30357381,Rythm | M3 Matte Black | 510 Battery,01010,Gear,,,"GTI Ohio, LLC",Backstock,250,6.56,3.28,01010,,,false,,,,,,,3/31/2025,,3/31/2025,,qty,Gear,Qty,,,No,No,false,Yes,Yes,No,false,Yes,Rythm,,,,,,0,,,,,,01010,,250,,,,false,,,,,6.56,6.56,,All enabled customer types
